workload,gc,copied,host,waf,ec_avg,ec_min,ec_max,ec_range,std,cov,weargap_per_gc
uniform,78569,15332032,7279176,3.106,9,0,11,11,3,0.333,0.000
hot_shift,54036,83486,16051269,1.005,6,0,62,62,14,2.333,0.003
hot_zipf,50602,23937,15203377,1.001,6,0,109,109,17,2.833,0.003
hot_narrow,43151,0,13259385,1.000,5,0,113,113,18,3.600,0.003
