workload,gc,copied,host,waf,ec_avg,ec_min,ec_max,ec_range,std,cov,weargap_per_gc
uniform,78668,15361459,7275986,3.111,9,0,11,11,3,0.333,0.000
hot_zipf,50124,102053,14999462,1.006,6,0,73,73,13,2.166,0.002
hot_narrow,42984,30833,13185671,1.002,5,0,66,66,14,2.800,0.002
skew_mid,68469,8724919,11220815,1.777,8,0,41,41,4,0.500,0.001
