workload,gc,copied,host,waf,ec_avg,ec_min,ec_max,ec_range,std,cov,weargap_per_gc
uniform,78390,15386178,7177872,3.143,9,0,11,11,3,0.333,0.000
hot_zipf,50783,9748,15265832,1.000,6,0,80,80,16,2.666,0.002
hot_narrow,43152,1366,13259450,1.000,5,0,66,66,15,3.000,0.001
skew_mid,67041,7408406,12160029,1.609,8,0,27,27,4,0.500,0.001
