cycle,d_gc,d_copied,d_host,seg_waf,cum_waf,ec_range,d_range,cov,weargap_per_gc
1,200165,23087764,30004232,1.7695,1.730,129,129,0.791,0.001
2,199947,23716183,29069820,1.8158,1.771,209,80,0.583,0.001
3,190685,23148012,27192840,1.8513,1.795,246,37,0.458,0.001
